[19-02-23 20:00:09.263][info] Init chat system....
[19-02-23 20:00:09.263][info] Mode: multiplayer.
[19-02-23 20:00:09.263][info] Chat owner: Muezza.
[19-02-23 20:58:56.357][info] Got message from server: ChatMessage{chat=Server, author='Server', text='teleported Trisudar to Muezza'}.
[19-02-23 22:40:28.840][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='ak pipis irl'}.
[19-02-23 23:00:18.057][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:18.224][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:18.373][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:18.540][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:18.691][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:18.857][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:19.007][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:19.158][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:19.324][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:19.474][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:19.607][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:19.791][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:19.957][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:20.124][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:20.291][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:20.458][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:20.592][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:20.741][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:20.909][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:00:20.942][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:21.075][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:21.078][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:21.208][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:21.258][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:21.426][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:21.526][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[19-02-23 23:00:21.592][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
[19-02-23 23:00:21.659][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:00:21.759][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:21.809][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:00:21.943][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:21.992][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:22.093][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:22.126][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:22.260][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:22.279][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY!'}.
[19-02-23 23:00:22.443][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:22.527][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[19-02-23 23:00:22.629][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='OVER HERE!'}.
[19-02-23 23:00:22.728][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[19-02-23 23:00:22.793][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='HEY YOU!'}.
