[20-02-23 20:33:31.558][info] Start chat server initialization....
[20-02-23 20:33:31.562][info] General chat has id = 0.
[20-02-23 20:33:31.562][info] Say chat has id = 1.
[20-02-23 20:33:31.562][info] Shout chat has id = 2.
[20-02-23 20:33:31.563][info] Radio chat has id = 3.
[20-02-23 20:33:31.563][info] Admin chat has id = 4.
[20-02-23 20:33:31.563][info] Server chat has id = 5.
[20-02-23 20:33:31.563][info] Chat server successfully initialized.
[20-02-23 20:33:34.415][info] Creating safehouse chat '5678,5757 at 1676900014412'.
[20-02-23 20:33:34.416][info] Safehouse chat '5678,5757 at 1676900014412' created.
[20-02-23 20:35:18.846][info] Player with id = '0' tries to connect.
[20-02-23 20:35:18.846][info] Adding player '0' to chat server.
[20-02-23 20:35:18.848][info] Player joined to default chats.
[20-02-23 20:35:18.848][info] Player joined to chat of safehouse '5678,5757 at 1676900014412'.
[20-02-23 20:35:18.848][info] Player EL-Mao'(0) joined to chat server successfully.
[20-02-23 20:38:56.085][info] Player with id = '4' tries to connect.
[20-02-23 20:38:56.085][info] Adding player '4' to chat server.
[20-02-23 20:38:56.085][info] Player joined to default chats.
[20-02-23 20:38:56.085][info] Player joined to chat of safehouse '5678,5757 at 1676900014412'.
[20-02-23 20:38:56.085][info] Player Gym Burger (Maximum Cheese)(4) joined to chat server successfully.
[20-02-23 20:39:48.293][info] Player with id = '8' tries to connect.
[20-02-23 20:39:48.293][info] Adding player '8' to chat server.
[20-02-23 20:39:48.293][info] Player joined to default chats.
[20-02-23 20:39:48.293][info] Player joined to chat of safehouse '5678,5757 at 1676900014412'.
[20-02-23 20:39:48.293][info] Player Muezza(8) joined to chat server successfully.
[20-02-23 21:02:08.387][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[20-02-23 21:02:08.388][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[20-02-23 21:02:08.513][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[20-02-23 21:02:08.513][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[20-02-23 21:02:08.616][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:02:08.617][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:02:08.741][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:02:08.741][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:02:08.928][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[20-02-23 21:02:08.928][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[20-02-23 21:02:09.135][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[20-02-23 21:02:09.135][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[20-02-23 21:02:09.269][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[20-02-23 21:02:09.270][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[20-02-23 21:02:10.076][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[20-02-23 21:02:10.077][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[20-02-23 21:02:10.279][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[20-02-23 21:02:10.279][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:02:13.818][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[20-02-23 21:02:13.819][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:02:13.985][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[20-02-23 21:02:13.986][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:02:46.047][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:02:46.047][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:02:46.202][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:02:46.202][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:02:46.347][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[20-02-23 21:02:46.348][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:02:46.500][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[20-02-23 21:02:46.500][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:02:46.686][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:02:46.686][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:02:46.928][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:02:46.928][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:02:49.946][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[20-02-23 21:02:49.947][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[20-02-23 21:02:50.109][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:02:50.110][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:02:50.282][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[20-02-23 21:02:50.283][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[20-02-23 21:02:52.316][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[20-02-23 21:02:52.317][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[20-02-23 21:02:52.471][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[20-02-23 21:02:52.471][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[20-02-23 21:02:52.665][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
