[14-02-23 20:31:58.110][info] Init chat system....
[14-02-23 20:31:58.110][info] Mode: multiplayer.
[14-02-23 20:31:58.111][info] Chat owner: EL-Mao'.
[14-02-23 23:01:17.247][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='pssst!'}.
[14-02-23 23:01:20.178][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='pssst!'}.
[14-02-23 23:01:21.028][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='psst'}.
[14-02-23 23:01:21.211][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='psst'}.
[14-02-23 23:01:21.378][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='pssst!'}.
[14-02-23 23:01:21.478][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='hey'}.
[14-02-23 23:01:21.662][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='hey'}.
[14-02-23 23:01:21.829][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='pssst!'}.
[14-02-23 23:01:22.014][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='pssst!'}.
[14-02-23 23:01:22.179][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='pssst!'}.
[14-02-23 23:01:22.346][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='hey'}.
[14-02-23 23:01:22.530][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='hey'}.
[14-02-23 23:01:22.745][info] Got message from server: ChatMessage{chat=Local, author='Trisudar', text='pssst!'}.
[14-02-23 23:30:07.048][info] Got message from server: ChatMessage{chat=Local, author='Jim Burger', text='HEY YOU!'}.
