[15-02-23 01:21:51.426][info] Init chat system....
[15-02-23 01:21:51.426][info] Mode: multiplayer.
[15-02-23 01:21:51.426][info] Chat owner: EL-Mao'.
[15-02-23 02:29:53.561][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'}.
[15-02-23 03:31:16.183][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:17.110][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:17.244][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:17.344][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:17.445][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:17.561][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:17.694][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:17.795][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:17.945][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:18.078][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:18.178][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:18.311][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:18.430][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:18.562][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:18.830][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
