[15-02-23 16:48:05.521][info] Init chat system....
[15-02-23 16:48:05.521][info] Mode: multiplayer.
[15-02-23 16:48:05.521][info] Chat owner: EL-Mao'.
[15-02-23 17:08:53.543][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:08:54.922][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:08:55.492][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:08:55.625][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:08:55.740][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:08:55.856][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:08:55.983][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:08:56.108][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:08:56.238][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:08:56.358][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:08:56.495][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:08:56.623][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:08:56.756][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:08:56.904][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:08:57.043][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:09:00.510][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'}.
[15-02-23 17:09:01.237][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'}.
[15-02-23 17:09:01.461][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='HEY!'}.
[15-02-23 17:09:01.702][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:01.902][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:02.095][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='HEY!'}.
[15-02-23 17:09:02.317][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='HEY!'}.
[15-02-23 17:09:02.507][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:05.312][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:09:06.337][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:09:07.192][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:09:08.264][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='HEY YOU!'}.
[15-02-23 17:09:10.372][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[15-02-23 17:11:58.172][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:58.575][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:11:58.720][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:11:58.830][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:11:58.955][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.067][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.208][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:11:59.333][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.461][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.591][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:11:59.710][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:00.374][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:03.148][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:04.354][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:04.709][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:04.873][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:05.021][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:05.183][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:05.323][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:05.467][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:05.678][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:07.080][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:07.488][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:07.710][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:07.885][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:08.164][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:08.517][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:08.826][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:09.093][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:09.390][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='hey'}.
[15-02-23 17:12:09.809][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:10.109][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:10.343][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:10.676][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:10.777][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='pssst!'}.
[15-02-23 17:12:10.996][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
[15-02-23 17:12:11.231][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='psst'}.
