[15-02-23 22:28:04.070][info] Init chat system....
[15-02-23 22:28:04.070][info] Mode: multiplayer.
[15-02-23 22:28:04.070][info] Chat owner: EL-Mao'.
[15-02-23 23:52:01.671][info] Got message from server: ChatMessage{chat=Local, author='Muezza', text='OVER HERE!'}.
[16-02-23 00:26:37.940][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:26:38.624][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:26:40.538][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:26:40.788][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:26:48.688][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:26:48.839][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:26:48.988][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:26:49.171][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:26:51.122][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:26:53.922][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:26:55.257][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:26:57.489][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[16-02-23 00:26:58.022][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[16-02-23 00:27:00.105][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[16-02-23 00:27:00.272][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
