[16-02-23 15:42:41.000][info] Start chat server initialization....
[16-02-23 15:42:41.003][info] General chat has id = 0.
[16-02-23 15:42:41.004][info] Say chat has id = 1.
[16-02-23 15:42:41.004][info] Shout chat has id = 2.
[16-02-23 15:42:41.004][info] Radio chat has id = 3.
[16-02-23 15:42:41.004][info] Admin chat has id = 4.
[16-02-23 15:42:41.004][info] Server chat has id = 5.
[16-02-23 15:42:41.004][info] Chat server successfully initialized.
[16-02-23 15:43:15.375][info] Player with id = '0' tries to connect.
[16-02-23 15:43:15.375][info] Adding player '0' to chat server.
[16-02-23 15:43:16.013][info] Player joined to default chats.
[16-02-23 15:43:16.013][info] Player EL-Mao'(0) joined to chat server successfully.
[16-02-23 15:45:32.762][info] Player with id = '4' tries to connect.
[16-02-23 15:45:32.762][info] Adding player '4' to chat server.
[16-02-23 15:45:32.762][info] Player joined to default chats.
[16-02-23 15:45:32.762][info] Player Gym Burger (Maximum Cheese)(4) joined to chat server successfully.
[16-02-23 15:50:03.292][info] Player 4 disconnecting....
[16-02-23 15:50:03.293][info] Disconnecting player 4 finished.
[16-02-23 15:51:41.961][info] Player 4 disconnecting....
[16-02-23 15:51:41.961][info] Disconnecting player 4 finished.
[16-02-23 15:51:41.962][info] Player with id = '4' tries to connect.
[16-02-23 15:51:41.962][info] Adding player '4' to chat server.
[16-02-23 15:51:41.962][error] Player or connection is not found on server!.
[16-02-23 15:51:41.962][error] player = null.
[16-02-23 15:51:44.372][info] Player with id = '4' tries to connect.
[16-02-23 15:51:44.372][info] Adding player '4' to chat server.
[16-02-23 15:51:44.372][info] Player joined to default chats.
[16-02-23 15:51:44.373][info] Player Gym Burger (Maximum Cheese)(4) joined to chat server successfully.
[16-02-23 15:53:05.109][info] Player with id = '8' tries to connect.
[16-02-23 15:53:05.109][info] Adding player '8' to chat server.
[16-02-23 15:53:05.109][info] Player joined to default chats.
[16-02-23 15:53:05.110][info] Player Muezza(8) joined to chat server successfully.
[16-02-23 16:04:45.748][info] Player 4 disconnecting....
[16-02-23 16:04:45.749][info] Disconnecting player 4 finished.
[16-02-23 16:04:45.749][info] Player 4 disconnecting....
[16-02-23 16:04:45.749][info] Disconnecting player 4 finished.
[16-02-23 16:06:06.786][info] Player with id = '4' tries to connect.
[16-02-23 16:06:06.786][info] Adding player '4' to chat server.
[16-02-23 16:06:06.786][info] Player joined to default chats.
[16-02-23 16:06:06.786][info] Player Gym Burger (Maximum Cheese)(4) joined to chat server successfully.
[16-02-23 16:14:09.097][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='hey'}.
[16-02-23 16:14:09.098][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='hey'} sent to chat (id = 2) members.
[16-02-23 16:14:10.739][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 16:14:10.739][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 16:14:11.918][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 16:14:11.919][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 16:14:13.069][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 16:14:13.069][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 16:14:14.655][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 16:14:14.655][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[16-02-23 16:14:20.896][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'}.
[16-02-23 16:14:20.896][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY YOU!'} sent to chat (id = 2) members.
[16-02-23 16:14:21.885][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 16:14:21.886][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 16:14:22.067][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 16:14:22.067][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 16:14:32.048][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 16:14:32.049][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 16:14:34.519][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 16:14:34.520][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 16:14:35.601][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 16:14:35.601][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 16:14:36.594][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 16:14:36.594][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 16:14:37.214][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 16:14:37.215][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 16:14:37.767][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'}.
[16-02-23 16:14:37.768][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='OVER HERE!'} sent to chat (id = 2) members.
[16-02-23 16:14:38.425][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 16:14:38.426][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
[16-02-23 16:14:39.059][info] Got message:ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'}.
[16-02-23 16:14:39.059][info] Message ChatMessage{chat=Local, author='Gym Burger (Maximum Cheese)', text='HEY!'} sent to chat (id = 2) members.
