DEBUG: General     , 1676899901445> 889.076.635> LoggerManager.init                  > Initializing...
LOG  : General     , 1676899901558> 889.076.736> cachedir set to "C:\Users\h_a_t_n\Zomboid"
LOG  : General     , 1676899901795> 889.076.973> version=41.78.16 demo=false
LOG  : General     , 1676899901795> 889.076.974> revision= date= time=
LOG  : General     , 1676899901799> 889.076.978> server name is "sadDoto"
LOG  : General     , 1676899901800> 889.076.979> checking server WorldVersion in map_t.bin
LOG  : General     , 1676899901803> 889.076.981> Loading networking libraries...
LOG  : General     , 1676899901826> 889.077.004> Loading steam_api64...
LOG  : General     , 1676899901831> 889.077.009> Loading RakNet64...
LOG  : General     , 1676899901834> 889.077.012> Loading ZNetJNI64...
LOG  : Network     , 1676899901853> 889.077.031> [20-02-23 20:31:41.852] > ZNet: SetLogLevel 1
LOG  : Network     , 1676899901856> 889.077.034> [20-02-23 20:31:41.856] > ZNet: Compiled with SERVER_STEAMAPI == 0
LOG  : Network     , 1676899901856> 889.077.034> [20-02-23 20:31:41.856] > ZNet: Starting with bServer == true
LOG  : Network     , 1676899901856> 889.077.035> [20-02-23 20:31:41.856] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1676899901857> 889.077.035> SteamUtils initialised successfully
LOG  : General     , 1676899907686> 889.082.865> translator: language is EN
LOG  : General     , 1676899907871> 889.083.049> LightingFPS set to 15
LOG  : General     , 1676899907893> 889.083.071> reading C:\Users\h_a_t_n\Zomboid\Server\sadDoto.ini
LOG  : General     , 1676899907895> 889.083.073> writing C:\Users\h_a_t_n\Zomboid\Server\sadDoto.ini
LOG  : Network     , 1676899907907> 889.083.085> [20-02-23 20:31:47.907] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1676899909126> 889.084.304> [20-02-23 20:31:49.126] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1676899909526> 889.084.704> [20-02-23 20:31:49.526] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1676899909576> 889.084.754> [20-02-23 20:31:49.576] > ZNet: SetServerName 'My PZ Server'
LOG  : Network     , 1676899909626> 889.084.804> [20-02-23 20:31:49.626] > ZNet: SetMapName 'Muldraugh, KY'
LOG  : Network     , 1676899909677> 889.084.855> [20-02-23 20:31:49.676] > ZNet: SetGameTags 'hidden;hosted'
